Job;Node;Variant;Weight;LiveIdle;Marginal;PredTotal;RawPerf;RawEff;NormPerf;NormEff;FinalScore
ml-preprocessing-job-p6292;dgoh-wyze;dgoh-wyze-cpu;0.0;2.50;2.28;4.78;741.07;155.0356;62.6;100.0;100
ml-preprocessing-job-p6292;rpi;rpi-cpu;0.0;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;17
ml-preprocessing-job-p6292;tvpc;tvpc-cpu;0.0;48.50;27.46;75.96;1184.01;15.5873;100.0;10.6;10
ml-preprocessing-job-p6292;tvpc;tvpc-gpu;0.0;48.50;40.40;88.90;6.73;0.0757;0.6;0.1;0
ml-train-job-c7pfv;dgoh-wyze;dgoh-wyze-cpu;0.0;2.60;10.01;12.61;17.44;1.3830;1.0;18.3;18
ml-train-job-c7pfv;rpi;rpi-cpu;0.0;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-c7pfv;tvpc;tvpc-cpu;0.0;48.10;86.83;134.93;68.39;0.5069;4.0;6.7;6
ml-train-job-c7pfv;tvpc;tvpc-gpu;0.0;48.10;176.66;224.76;1715.98;7.6347;100.0;100.0;100
ml-inference-job-hnvdr;dgoh-wyze;dgoh-wyze-cpu;0.0;2.50;8.02;10.52;7742.88;736.0152;13.1;100.0;100
ml-inference-job-hnvdr;rpi;rpi-cpu;0.0;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;1
ml-inference-job-hnvdr;tvpc;tvpc-cpu;0.0;47.10;70.89;117.99;22036.82;186.7685;37.3;26.0;25
ml-inference-job-hnvdr;tvpc;tvpc-gpu;0.0;47.10;48.08;95.18;59110.14;621.0353;100.0;86.4;86
ml-preprocessing-job-qrcqf;dgoh-wyze;dgoh-wyze-cpu;0.1;2.70;2.28;4.98;741.07;148.8092;62.6;100.0;96
ml-preprocessing-job-qrcqf;rpi;rpi-cpu;0.1;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;15
ml-preprocessing-job-qrcqf;tvpc;tvpc-cpu;0.1;51.40;27.46;78.86;1184.01;15.0141;100.0;10.2;19
ml-preprocessing-job-qrcqf;tvpc;tvpc-gpu;0.1;51.40;40.40;91.80;6.73;0.0733;0.6;0.0;0
ml-train-job-gbk7x;dgoh-wyze;dgoh-wyze-cpu;0.1;2.70;10.01;12.71;17.44;1.3721;1.0;18.1;16
ml-train-job-gbk7x;rpi;rpi-cpu;0.1;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-gbk7x;tvpc;tvpc-cpu;0.1;47.70;86.83;134.53;68.39;0.5084;4.0;6.7;6
ml-train-job-gbk7x;tvpc;tvpc-gpu;0.1;47.70;176.66;224.36;1715.98;7.6483;100.0;100.0;100
ml-inference-job-llw58;dgoh-wyze;dgoh-wyze-cpu;0.1;2.60;8.02;10.62;7742.88;729.0847;13.1;100.0;91
ml-inference-job-llw58;rpi;rpi-cpu;0.1;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-llw58;tvpc;tvpc-cpu;0.1;47.80;70.89;118.69;22036.82;185.6670;37.3;25.8;26
ml-inference-job-llw58;tvpc;tvpc-gpu;0.1;47.80;48.08;95.88;59110.14;616.5013;100.0;85.8;87
ml-preprocessing-job-g79rl;dgoh-wyze;dgoh-wyze-cpu;0.2;2.70;2.28;4.98;741.07;148.8092;62.6;100.0;92
ml-preprocessing-job-g79rl;rpi;rpi-cpu;0.2;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;15
ml-preprocessing-job-g79rl;tvpc;tvpc-cpu;0.2;49.80;27.46;77.26;1184.01;15.3250;100.0;10.4;28
ml-preprocessing-job-g79rl;tvpc;tvpc-gpu;0.2;49.80;40.40;90.20;6.73;0.0746;0.6;0.1;0
ml-train-job-2qr6g;dgoh-wyze;dgoh-wyze-cpu;0.2;2.60;10.01;12.61;17.44;1.3830;1.0;18.3;14
ml-train-job-2qr6g;rpi;rpi-cpu;0.2;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-2qr6g;tvpc;tvpc-cpu;0.2;51.70;86.83;138.53;68.39;0.4937;4.0;6.5;6
ml-train-job-2qr6g;tvpc;tvpc-gpu;0.2;51.70;176.66;228.36;1715.98;7.5144;100.0;99.3;99
ml-inference-job-45gf7;dgoh-wyze;dgoh-wyze-cpu;0.2;2.60;8.02;10.62;7742.88;729.0847;13.1;100.0;82
ml-inference-job-45gf7;rpi;rpi-cpu;0.2;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-45gf7;tvpc;tvpc-cpu;0.2;48.30;70.89;119.19;22036.82;184.8882;37.3;25.7;28
ml-inference-job-45gf7;tvpc;tvpc-gpu;0.2;48.30;48.08;96.38;59110.14;613.3030;100.0;85.3;88
ml-preprocessing-job-9w7s8;dgoh-wyze;dgoh-wyze-cpu;0.3;2.60;2.28;4.88;741.07;151.8586;62.6;100.0;88
ml-preprocessing-job-9w7s8;rpi;rpi-cpu;0.3;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;14
ml-preprocessing-job-9w7s8;tvpc;tvpc-cpu;0.3;50.20;27.46;77.66;1184.01;15.2461;100.0;10.3;37
ml-preprocessing-job-9w7s8;tvpc;tvpc-gpu;0.3;50.20;40.40;90.60;6.73;0.0743;0.6;0.1;0
ml-train-job-98s5n;dgoh-wyze;dgoh-wyze-cpu;0.3;2.70;10.01;12.71;17.44;1.3721;1.0;18.1;12
ml-train-job-98s5n;rpi;rpi-cpu;0.3;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-98s5n;tvpc;tvpc-cpu;0.3;50.90;86.83;137.73;68.39;0.4966;4.0;6.6;5
ml-train-job-98s5n;tvpc;tvpc-gpu;0.3;50.90;176.66;227.56;1715.98;7.5408;100.0;99.6;99
ml-inference-job-szg9f;dgoh-wyze;dgoh-wyze-cpu;0.3;2.60;8.02;10.62;7742.88;729.0847;13.1;100.0;73
ml-inference-job-szg9f;rpi;rpi-cpu;0.3;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-szg9f;tvpc;tvpc-cpu;0.3;51.40;70.89;122.29;22036.82;180.2013;37.3;25.1;28
ml-inference-job-szg9f;tvpc;tvpc-gpu;0.3;51.40;48.08;99.48;59110.14;594.1912;100.0;82.6;87
ml-preprocessing-job-sg6x8;dgoh-wyze;dgoh-wyze-cpu;0.4;2.60;2.28;4.88;741.07;151.8586;62.6;100.0;85
ml-preprocessing-job-sg6x8;rpi;rpi-cpu;0.4;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;12
ml-preprocessing-job-sg6x8;tvpc;tvpc-cpu;0.4;51.50;27.46;78.96;1184.01;14.9951;100.0;10.2;46
ml-preprocessing-job-sg6x8;tvpc;tvpc-gpu;0.4;51.50;40.40;91.90;6.73;0.0732;0.6;0.0;0
